"","H0__0","H1__0","H0__1","H1__1"
"0","0.0","0.0","1.0","0.0"
"1","1.0","0.0","0.0","0.0"
"2","1.0","0.0","0.0","0.0"
"3","1.0","0.0","0.0","0.0"
"4","1.0","0.0","0.0","0.0"
"5","1.0","0.0","0.0","0.0"
"6","0.0","0.0","1.0","0.0"
"7","1.0","0.0","0.0","0.0"
"8","1.0","0.0","0.0","0.0"
"9","1.0","0.0","0.0","0.0"
"10","1.0","0.0","0.0","0.0"
"11","1.0","0.0","0.0","0.0"
"12","1.0","0.0","0.0","0.0"
"13","1.0","0.0","0.0","0.0"
"14","1.0","0.0","0.0","0.0"
"15","1.0","0.0","0.0","0.0"
"16","1.0","0.0","0.0","0.0"
"17","1.0","0.0","0.0","0.0"
"18","1.0","0.0","0.0","0.0"
"19","1.0","0.0","0.0","0.0"
"20","0.0","0.0","1.0","0.0"
"21","0.0","0.0","0.0","0.0"
"22","1.0","0.0","1.0","0.0"
"23","0.0","0.0","1.0","0.0"
"24","1.0","0.0","0.0","0.0"
"25","0.0","0.0","1.0","0.0"
"26","0.0","0.0","0.0","0.0"
"27","0.0","0.0","1.0","0.0"
"28","0.0","0.0","1.0","0.0"
"29","0.0","0.0","1.0","0.0"
"30","0.0","0.0","1.0","0.0"
"31","0.0","0.0","1.0","0.0"
"32","0.0","0.0","0.0","0.0"
"33","0.0","0.0","1.0","0.0"
"34","0.0","0.0","1.0","0.0"
"35","1.0","0.0","0.0","0.0"
"36","0.0","0.0","1.0","0.0"
"37","0.0","0.0","1.0","0.0"
"38","1.0","0.0","1.0","0.0"
"39","1.0","0.0","0.0","0.0"
"40","1.0","0.0","1.0","0.0"
"41","0.0","0.0","1.0","0.0"
"42","0.0","0.0","1.0","0.0"
"43","0.0","0.0","1.0","0.0"
"44","1.0","0.0","0.0","0.0"
"45","0.0","0.0","1.0","0.0"
"46","0.0","0.0","0.0","0.0"
"47","1.0","0.0","0.0","0.0"
"48","1.0","0.0","0.0","0.0"
"49","0.0","0.0","1.0","0.0"
"50","1.0","0.0","0.0","0.0"
"51","1.0","0.0","0.0","0.0"
"52","0.0","0.0","1.0","0.0"
"53","0.0","0.0","1.0","0.0"
"54","1.0","0.0","0.0","0.0"
"55","1.0","0.0","0.0","0.0"
"56","1.0","0.0","0.0","0.0"
"57","1.0","0.0","0.0","0.0"
"58","0.0","0.0","0.0","0.0"
"59","1.0","0.0","0.0","0.0"
"60","1.0","0.0","0.0","0.0"
"61","1.0","0.0","0.0","0.0"
"62","0.0","0.0","1.0","0.0"
"63","0.0","0.0","1.0","0.0"
"64","1.0","0.0","0.0","0.0"
"65","0.0","0.0","0.0","0.0"
"66","0.0","0.0","1.0","0.0"
"67","0.0","0.0","0.0","0.0"
"68","1.0","0.0","0.0","0.0"
"69","1.0","0.0","0.0","0.0"
"70","1.0","0.0","0.0","0.0"
"71","1.0","0.0","0.0","0.0"
"72","0.0","0.0","1.0","0.0"
"73","1.0","0.0","0.0","0.0"
"74","1.0","0.0","1.0","0.0"
"75","1.0","0.0","0.0","0.0"
"76","1.0","0.0","0.0","0.0"
"77","1.0","0.0","0.0","0.0"
"78","1.0","0.0","1.0","0.0"
"79","1.0","0.0","0.0","0.0"
"80","1.0","0.0","0.0","0.0"
"81","1.0","0.0","0.0","0.0"
"82","1.0","0.0","1.0","0.0"
"83","1.0","0.0","0.0","0.0"
"84","0.0","0.0","1.0","0.0"
"85","0.0","0.0","1.0","0.0"
"86","0.0","0.0","0.0","0.0"
"87","1.0","0.0","0.0","0.0"
"88","0.0","0.0","1.0","0.0"
"89","1.0","0.0","0.0","0.0"
"90","0.0","0.0","1.0","0.0"
"91","1.0","0.0","0.0","0.0"
"92","1.0","0.0","0.0","0.0"
"93","1.0","0.0","0.0","0.0"
"94","0.0","0.0","0.0","0.0"
"95","1.0","0.0","1.0","0.0"
"96","1.0","0.0","1.0","0.0"
"97","0.0","0.0","1.0","0.0"
"98","1.0","0.0","1.0","0.0"
"99","0.0","0.0","0.0","0.0"
"100","0.0","0.0","1.0","0.0"
"101","1.0","0.0","1.0","0.0"
"102","0.0","0.0","1.0","0.0"
"103","1.0","0.0","0.0","0.0"
"104","1.0","0.0","0.0","0.0"
"105","1.0","0.0","0.0","0.0"
"106","0.0","0.0","1.0","0.0"
"107","0.0","0.0","1.0","0.0"
"108","1.0","0.0","0.0","0.0"
"109","0.0","0.0","1.0","0.0"
"110","1.0","0.0","0.0","0.0"
"111","0.0","0.0","1.0","0.0"
"112","0.0","0.0","1.0","0.0"
"113","0.0","0.0","0.0","0.0"
"114","0.0","0.0","1.0","0.0"
"115","0.0","0.0","1.0","0.0"
"116","0.0","0.0","1.0","0.0"
"117","0.0","0.0","1.0","0.0"
"118","0.0","0.0","1.0","0.0"
"119","0.0","0.0","1.0","0.0"
"120","1.0","0.0","0.0","0.0"
"121","1.0","0.0","0.0","0.0"
"122","1.0","0.0","0.0","0.0"
"123","1.0","0.0","0.0","0.0"
"124","1.0","0.0","0.0","0.0"
"125","1.0","0.0","0.0","0.0"
"126","1.0","0.0","0.0","0.0"
"127","0.0","0.0","1.0","0.0"
"128","0.0","0.0","1.0","0.0"
"129","1.0","0.0","0.0","0.0"
"130","0.0","0.0","1.0","0.0"
"131","0.0","0.0","0.0","0.0"
"132","1.0","0.0","0.0","0.0"
"133","0.0","0.0","0.0","0.0"
"134","1.0","0.0","1.0","0.0"
"135","0.0","0.0","1.0","0.0"
"136","0.0","0.0","0.0","0.0"
"137","0.0","0.0","1.0","0.0"
"138","1.0","0.0","0.0","0.0"
"139","0.0","0.0","1.0","0.0"
"140","1.0","0.0","0.0","0.0"
"141","0.0","0.0","1.0","0.0"
"142","0.0","0.0","1.0","0.0"
"143","1.0","0.0","0.0","0.0"
"144","0.0","0.0","0.0","0.0"
"145","1.0","0.0","0.0","0.0"
"146","1.0","0.0","0.0","0.0"
"147","1.0","0.0","0.0","0.0"
"148","1.0","0.0","0.0","0.0"
"149","1.0","0.0","0.0","0.0"
"150","0.0","0.0","1.0","0.0"
"151","0.0","0.0","1.0","0.0"
"152","0.0","0.0","1.0","0.0"
"153","0.0","0.0","1.0","0.0"
"154","0.0","0.0","1.0","0.0"
"155","0.0","0.0","0.0","0.0"
"156","1.0","0.0","0.0","0.0"
"157","1.0","0.0","0.0","0.0"
"158","1.0","0.0","0.0","0.0"
"159","1.0","0.0","0.0","0.0"
"160","1.0","0.0","0.0","0.0"
"161","0.0","0.0","1.0","0.0"
"162","0.0","0.0","1.0","0.0"
"163","0.0","0.0","1.0","0.0"
"164","1.0","0.0","0.0","0.0"
"165","1.0","0.0","0.0","0.0"
"166","1.0","0.0","0.0","0.0"
"167","0.0","0.0","1.0","0.0"
"168","1.0","0.0","0.0","0.0"
"169","0.0","0.0","1.0","0.0"
"170","0.0","0.0","0.0","0.0"
"171","0.0","0.0","1.0","0.0"
"172","1.0","0.0","0.0","0.0"
"173","1.0","0.0","0.0","0.0"
"174","0.0","0.0","1.0","0.0"
"175","1.0","0.0","0.0","0.0"
"176","1.0","0.0","0.0","0.0"
"177","1.0","0.0","0.0","0.0"
"178","0.0","0.0","1.0","0.0"
"179","1.0","0.0","0.0","0.0"
"180","1.0","0.0","0.0","0.0"
"181","0.0","0.0","1.0","0.0"
"182","1.0","0.0","0.0","0.0"
"183","0.0","0.0","1.0","0.0"
"184","0.0","0.0","1.0","0.0"
"185","1.0","0.0","0.0","0.0"
"186","0.0","0.0","1.0","0.0"
"187","0.0","0.0","1.0","0.0"
"188","0.0","0.0","1.0","0.0"
"189","1.0","0.0","0.0","0.0"
"190","0.0","0.0","1.0","0.0"
"191","0.0","0.0","0.0","0.0"
"192","1.0","0.0","0.0","0.0"
"193","0.0","0.0","1.0","0.0"
"194","0.0","0.0","0.0","0.0"
"195","0.0","0.0","0.0","0.0"
"196","1.0","0.0","0.0","0.0"
"197","0.0","0.0","1.0","0.0"
"198","1.0","0.0","0.0","0.0"
"199","0.0","0.0","1.0","0.0"
"200","1.0","0.0","0.0","0.0"
"201","0.0","0.0","0.0","0.0"
"202","0.0","0.0","1.0","0.0"
"203","0.0","0.0","1.0","0.0"
"204","0.0","0.0","1.0","0.0"
"205","1.0","0.0","0.0","0.0"
"206","0.0","0.0","0.0","0.0"
"207","0.0","0.0","0.0","0.0"
"208","0.0","0.0","0.0","0.0"
"209","1.0","0.0","0.0","0.0"
"210","0.0","0.0","1.0","0.0"
"211","1.0","0.0","0.0","0.0"
"212","0.0","0.0","0.0","0.0"
"213","0.0","0.0","0.0","0.0"
"214","0.0","0.0","1.0","0.0"
"215","0.0","0.0","1.0","0.0"
"216","0.0","0.0","1.0","0.0"
"217","0.0","0.0","1.0","0.0"
"218","1.0","0.0","0.0","0.0"
"219","0.0","0.0","1.0","0.0"
"220","1.0","0.0","0.0","0.0"
"221","0.0","0.0","0.0","0.0"
"222","1.0","0.0","0.0","0.0"
"223","0.0","0.0","1.0","0.0"
"224","0.0","0.0","1.0","0.0"
"225","0.0","0.0","1.0","0.0"
"226","0.0","0.0","0.0","0.0"
"227","1.0","0.0","0.0","0.0"
"228","0.0","0.0","1.0","0.0"
"229","1.0","0.0","0.0","0.0"
"230","1.0","0.0","0.0","0.0"
"231","0.0","0.0","1.0","0.0"
"232","0.0","0.0","1.0","0.0"
"233","0.0","0.0","1.0","0.0"
"234","0.0","0.0","1.0","0.0"
"235","0.0","0.0","1.0","0.0"
"236","1.0","0.0","0.0","0.0"
"237","1.0","0.0","0.0","0.0"
"238","0.0","0.0","0.0","0.0"
"239","1.0","0.0","0.0","0.0"
"240","0.0","0.0","1.0","0.0"
"241","0.0","0.0","0.0","0.0"
"242","1.0","0.0","0.0","0.0"
"243","0.0","0.0","0.0","0.0"
"244","1.0","0.0","0.0","0.0"
"245","1.0","0.0","0.0","0.0"
"246","0.0","0.0","0.0","0.0"
"247","0.0","0.0","1.0","0.0"
"248","0.0","0.0","0.0","0.0"
"249","0.0","0.0","1.0","0.0"
"250","1.0","0.0","0.0","0.0"
"251","1.0","0.0","0.0","0.0"
"252","1.0","0.0","0.0","0.0"
"253","1.0","0.0","0.0","0.0"
"254","0.0","0.0","0.0","0.0"
"255","1.0","0.0","0.0","0.0"
"256","0.0","0.0","1.0","0.0"
"257","0.0","0.0","1.0","0.0"
"258","1.0","0.0","0.0","0.0"
"259","0.0","0.0","1.0","0.0"
"260","0.0","0.0","1.0","0.0"
"261","1.0","0.0","0.0","0.0"
"262","0.0","0.0","0.0","0.0"
"263","1.0","0.0","0.0","0.0"
"264","0.0","0.0","0.0","0.0"
"265","0.0","0.0","0.0","0.0"
"266","1.0","0.0","0.0","0.0"
"267","0.0","0.0","1.0","0.0"
"268","0.0","0.0","0.0","0.0"
"269","0.0","0.0","1.0","0.0"
"270","0.0","0.0","0.0","0.0"
"271","0.0","0.0","0.0","0.0"
"272","0.0","0.0","1.0","0.0"
"273","1.0","0.0","0.0","0.0"
"274","1.0","0.0","0.0","0.0"
"275","1.0","0.0","0.0","0.0"
"276","0.0","0.0","1.0","0.0"
"277","1.0","0.0","0.0","0.0"
"278","1.0","0.0","0.0","0.0"
"279","1.0","0.0","0.0","0.0"
"280","1.0","0.0","0.0","0.0"
"281","1.0","0.0","0.0","0.0"
"282","0.0","0.0","0.0","0.0"
"283","0.0","0.0","0.0","0.0"
"284","1.0","0.0","0.0","0.0"
"285","1.0","0.0","0.0","0.0"
"286","1.0","0.0","0.0","0.0"
"287","1.0","0.0","0.0","0.0"
"288","0.0","0.0","1.0","0.0"
"289","1.0","0.0","0.0","0.0"
"290","1.0","0.0","0.0","0.0"
"291","0.0","0.0","0.0","0.0"
"292","0.0","0.0","1.0","0.0"
"293","1.0","0.0","0.0","0.0"
"294","1.0","0.0","0.0","0.0"
"295","0.0","0.0","0.0","0.0"
"296","0.0","0.0","1.0","0.0"
"297","0.0","0.0","1.0","0.0"
"298","1.0","0.0","0.0","0.0"
"299","1.0","0.0","0.0","0.0"
"300","1.0","0.0","0.0","0.0"
"301","1.0","0.0","0.0","0.0"
"302","1.0","0.0","0.0","0.0"
"303","1.0","0.0","0.0","0.0"
"304","0.0","0.0","0.0","0.0"
"305","1.0","0.0","0.0","0.0"
"306","0.0","0.0","1.0","0.0"
"307","1.0","0.0","0.0","0.0"
"308","0.0","0.0","1.0","0.0"
"309","1.0","0.0","0.0","0.0"
"310","0.0","0.0","1.0","0.0"
"311","0.0","0.0","1.0","0.0"
"312","1.0","0.0","0.0","1.0"
"313","0.0","0.0","0.0","1.0"
"314","0.0","0.0","1.0","1.0"
"315","0.0","0.0","1.0","1.0"
"316","0.0","0.0","1.0","1.0"
"317","0.0","0.0","1.0","1.0"
"318","0.0","0.0","1.0","1.0"
"319","0.0","0.0","1.0","1.0"
"320","0.0","0.0","1.0","1.0"
"321","0.0","0.0","1.0","1.0"
"322","0.0","0.0","1.0","1.0"
"323","0.0","0.0","1.0","1.0"
"324","0.0","0.0","1.0","1.0"
"325","0.0","0.0","1.0","1.0"
"326","0.0","0.0","1.0","1.0"
"327","1.0","0.0","0.0","1.0"
"328","1.0","0.0","0.0","1.0"
"329","0.0","0.0","1.0","1.0"
"330","0.0","0.0","1.0","1.0"
"331","1.0","0.0","0.0","1.0"
"332","1.0","0.0","0.0","1.0"
"333","1.0","0.0","0.0","1.0"
"334","0.0","0.0","0.0","1.0"
"335","1.0","0.0","0.0","1.0"
"336","0.0","0.0","1.0","1.0"
"337","1.0","0.0","0.0","1.0"
"338","0.0","0.0","1.0","1.0"
"339","0.0","0.0","1.0","1.0"
"340","0.0","0.0","1.0","1.0"
"341","0.0","0.0","1.0","1.0"
"342","1.0","0.0","1.0","1.0"
"343","1.0","0.0","0.0","1.0"
"344","1.0","0.0","0.0","1.0"
"345","0.0","0.0","1.0","1.0"
"346","0.0","0.0","1.0","1.0"
"347","1.0","0.0","1.0","1.0"
"348","1.0","0.0","0.0","1.0"
"349","1.0","0.0","0.0","1.0"
"350","0.0","0.0","1.0","1.0"
"351","1.0","0.0","0.0","1.0"
"352","1.0","0.0","0.0","1.0"
"353","1.0","0.0","0.0","1.0"
"354","0.0","0.0","1.0","1.0"
"355","0.0","0.0","1.0","1.0"
"356","1.0","0.0","0.0","1.0"
"357","0.0","0.0","1.0","1.0"
"358","1.0","0.0","0.0","1.0"
"359","1.0","0.0","0.0","1.0"
"360","1.0","0.0","0.0","1.0"
"361","0.0","0.0","1.0","1.0"
"362","1.0","0.0","1.0","1.0"
"363","0.0","0.0","1.0","1.0"
"364","1.0","0.0","0.0","1.0"
"365","0.0","0.0","1.0","1.0"
"366","1.0","0.0","0.0","1.0"
"367","1.0","0.0","0.0","1.0"
"368","1.0","0.0","0.0","1.0"
"369","0.0","0.0","1.0","1.0"
"370","1.0","0.0","0.0","1.0"
"371","0.0","0.0","1.0","1.0"
"372","0.0","0.0","0.0","1.0"
"373","0.0","0.0","1.0","1.0"
"374","1.0","0.0","0.0","1.0"
"375","1.0","0.0","0.0","1.0"
"376","0.0","0.0","0.0","1.0"
"377","1.0","0.0","0.0","1.0"
"378","0.0","0.0","1.0","1.0"
"379","0.0","0.0","0.0","1.0"
"380","0.0","0.0","1.0","1.0"
"381","0.0","0.0","1.0","1.0"
"382","1.0","0.0","0.0","1.0"
"383","0.0","0.0","0.0","1.0"
"384","1.0","0.0","0.0","1.0"
"385","1.0","0.0","0.0","1.0"
"386","0.0","0.0","1.0","1.0"
"387","1.0","0.0","0.0","1.0"
"388","0.0","0.0","1.0","1.0"
"389","0.0","0.0","1.0","1.0"
